,execID,orderID,clOrdID,clOrdLinkID,account,symbol,side,qty,lastPx,underlyingLastPx,lastMkt,lastLiquidityInd,simpleOrderQty,orderQty,price,displayQty,stopPx,pegOffsetValue,pegPriceType,currency,settlCurrency,execType,ordType,timeInForce,execInst,contingencyType,exDestination,ordStatus,triggered,workingIndicator,ordRejReason,simpleLeavesQty,leavesQty,simpleCumQty,cumQty,avgPx,commission,tradePublishIndicator,multiLegReportingType,text,trdMatchID,execCost,execComm,homeNotional,foreignNotional,transactTime,timestamp,exchange,asset
5,f44a1d8f-ec3d-f521-56f6-380ee18f2068,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,727,13792.6,,XBME,,,727,13792.6,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,727,13792.6,0.0001,,SingleSecurity,Funding,fd637566-dd80-a247-86ce-3ebb4451d6d4,-5270750,5.27e-06,0.0527075,-727,2020-10-28 04:00:00,2020-10-28T04:00:00.002Z,BITMEX,XBT
31,39eca3f9-3ea3-bb83-4138-85c42687dcb4,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,525,13283.12,,XBME,,,525,13283.12,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,525,13283.12,-0.000051,,SingleSecurity,Funding,f7d8c75c-4f91-2469-473e-1a941908f999,-3952200,-2.02e-06,0.039522,-525,2020-10-29 04:00:00,2020-10-29T04:00:00.005Z,BITMEX,XBT
58,f076601b-d405-0942-ebea-223509ad3210,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,389,13798.95,,XBME,,,389,13798.95,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,389,13798.95,0.00007,,SingleSecurity,Funding,99b190e5-3d9a-7d7d-d711-c4498d872ec8,-2819083,1.97e-06,0.02819083,-389,2020-11-01 20:00:00,2020-11-01T20:00:00.003Z,BITMEX,XBT
59,0b32d35c-3bbe-94f1-2ea2-108a9f76d628,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,389,13711.51,,XBME,,,389,13711.51,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,389,13711.51,-0.000005,,SingleSecurity,Funding,07ac958e-3eda-5453-9f56-e2bda1c7b330,-2836977,-1.4e-07,0.02836977,-389,2020-11-02 04:00:00,2020-11-02T04:00:00.004Z,BITMEX,XBT
85,829a16f6-74ee-ea5c-af66-cb462e32ad6d,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,13447,13566.55,,XBME,,,13447,13566.55,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,13447,13566.55,-0.00014,,SingleSecurity,Funding,f8294a76-5529-0754-1734-99a98a9c27cf,-99117837,-0.00013876,0.99117837,-13447,2020-11-02 20:00:00,2020-11-02T20:00:00.000Z,BITMEX,XBT
86,f61da34c-7dd3-c936-4a4d-acb3369d7390,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,13447,13402.44,,XBME,,,13447,13402.44,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,13447,13402.44,-0.000197,,SingleSecurity,Funding,db2b1b71-ebbb-79c6-7b07-6eb70d2c138c,-100328067,-0.00019765,1.00328067,-13447,2020-11-03 04:00:00,2020-11-03T04:00:00.001Z,BITMEX,XBT
115,1e152406-72ec-03c9-6c15-b125b17afd76,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,10907,13538.86,,XBME,,,10907,13538.86,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,10907,13538.86,0.000077,,SingleSecurity,Funding,3ce29291-541d-c848-6360-26acfe38a424,-80559102,6.203e-05,0.80559102,-10907,2020-11-03 12:00:00,2020-11-03T12:00:00.003Z,BITMEX,XBT
116,e2ce062e-5b91-3e88-4287-64db8c78de88,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,10907,13732.58,,XBME,,,10907,13732.58,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,10907,13732.58,0.0001,,SingleSecurity,Funding,d18bda56-dff3-eb87-1656-6120db2d7524,-79424774,7.942e-05,0.79424774,-10907,2020-11-03 20:00:00,2020-11-03T20:00:00.001Z,BITMEX,XBT
179,d880b503-ef88-ff7a-1348-aee48cddbff0,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,12565,14327.56,,XBME,,,12565,14327.56,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,12565,14327.56,0.0001,,SingleSecurity,Funding,8f4c2439-441d-09cf-47d2-ec1a3928963f,-87703700,8.77e-05,0.877037,-12565,2020-11-05 04:00:00,2020-11-05T04:00:00.015Z,BITMEX,XBT
180,87f77bcd-8e6b-3a84-5cb4-b34f4aa202ab,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,12565,14731.19,,XBME,,,12565,14731.19,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,12565,14731.19,0.0001,,SingleSecurity,Funding,24030449-41e2-5d7e-2c7b-554de4c325cf,-85291220,8.529e-05,0.8529122,-12565,2020-11-05 12:00:00,2020-11-05T12:00:00.025Z,BITMEX,XBT
