exchange,cryptofeed_name,ccxt_symbol,cryptofeed_symbol,feed
bitmex,Bitmex,BTC/USD,XBTUSD,daddy
binance_futures,BinanceFutures,BTC/USDT,BTC-USDT,daddy
bybit,Bybit,BTC/USD,BTC-USD,daddy
ftx,FTX,BTC-PERP,BTC-PERP,"daddy,vol_trend,altcoin"
huobi_swap,HuobiSwap,BTC-USD,BTC-USD,daddy
okex,OKEx,BTC-USD-SWAP,BTC-USD-SWAP,daddy
ftx,FTX,BTC-MOVE,BTC-MOVE,vol_trend
ftx,FTX,ADA-PERP,ADA-PERP,altcoin
ftx,FTX,BAL-PERP,BAL-PERP,altcoin
ftx,FTX,BSV-PERP,BSV-PERP,altcoin
ftx,FTX,DOGE-PERP,DOGE-PERP,altcoin
ftx,FTX,DRGN-PERP,DRGN-PERP,altcoin
ftx,FTX,EOS-PERP,EOS-PERP,altcoin
ftx,FTX,ETC-PERP,ETC-PERP,altcoin
ftx,FTX,ETH-PERP,ETH-PERP,altcoin
ftx,FTX,LINK-PERP,LINK-PERP,altcoin
ftx,FTX,MID-PERP,MID-PERP,altcoin
ftx,FTX,SHIT-PERP,SHIT-PERP,altcoin
ftx,FTX,SUSHI-PERP,SUSHI-PERP,altcoin
ftx,FTX,TOMO-PERP,TOMO-PERP,altcoin
ftx,FTX,XRP-PERP,XRP-PERP,altcoin
